Códigos de Participante de Consumidores Directos,,,,
,,,,
Código,Empresa,Unidad,Fecha Alta,Estado
"1086
1727
1090
1506
1737
1385
1084
1633
1915
1354
1144
1400
1053
0771
1418
1643
1667
1141
1257
1327
1583
1842
1191
1796
1457
1831
1302
1743
1719
1130
0819
1171","MODISPREM S.A
MOLECOR CANALIZACIONES S.L
MOLECOR TECNOLOGIA S.L
MOSTOS ESPAÑOLES S.A
MUESTRARIOS IBERIA SL
NEURO ENERGIA Y GESTION SL
NORTEHIPERTENERIFE, S.L.
OLIVES AND PICKLES SL
ONDARE UNIVERSIDAD SLU
ONDOAN SERVICIOS
OSUNA MISSION SL
PALINVER EIVISSA
PIENSOS DARUZ
PIZARRAS MATACOUTA S.A
PLASTIENVASE S.L
PRODUCCIONES JOSE MANUBENS S.A.U
PRODUCTOS CHURRUCA, S.A
R.N.B S.L
REPSOL PETRÓLEO, S.A.
REPSOL PETRÓLEO, S.A.
REPSOL SERVICIOS RENOVABLES, S.A
S.A. HILADOS EGARFIL
S.AT N. 1596 NUFRI
SASKI BASKONIA SAD
SAT N 2903 SAN PEDRO
SAT Nº 9888 IMPERIO
SERVICIO EXTREMEÑO DE SALUD
SHELL ENERGY EUROPE LIMITED
SHELL ESPAÑA, S.A.
SISTEMAS URBANOS DE ENERGÍAS RENOVABLES, S.L. (REPR. C.D.)(1)
SNIACE, S.A.
SOCIEDAD COOP. LIMITADA NTRA SRA DEL PRADO DE CASAR DE CACERES","MODIC01
CANXC01
MOLEC01
MOSTC01
MUESC01
NEURC01
TENERTF
OOPPC01
ONDC01
ONSEC01
OSUNC01
PALINSB
DARUC01
MATAC01
SPGGC01
MANUC01
CHURC01
RNBBC01
REPEC01
REPRC01
REPC01
HILAC01
NUFRR01
SBC01
SATSC01
SAIMC01
SEXTC01
SHEENX
SESAUX
URBNC01
SNIAC01
PRADC01","01/01/2016
18/03/2023
28/01/2016
01/11/2020
06/04/2023
01/07/2019
01/01/2016
01/01/2022
01/06/2025
01/02/2019
17/08/2016
12/10/2019
08/06/2023
30/09/2011
01/01/2020
17/02/2022
01/05/2022
09/08/2016
01/04/2025
01/04/2025
01/08/2021
10/08/2024
01/01/2025
10/02/2024
27/05/2020
11/06/2024
07/07/2018
06/05/2023
01/03/2023
29/07/2016
29/08/2012
01/01/2017",VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,"Baja a:
08/10/2024"
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,"Baja a:
17/05/2025"
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
26 agosto 2025 5 de 6,,,,
