Códigos de Fabricantes
"Código Descripción
8200 SIEMENS METERING
8000 SIEMENS, S.A.
6900 SIEYUAN ELECTRIC
0107 SIFAN
0108 SIMON
6000 SIS. AVANZADOS CONTROL
0110 SIS./ELECTROMATIC
0109 SISTELTREM
0111 SKUPP
0112 SODECO
0113 SPRECHER
8300 SPRECHER+SCHUH
8350 STE
0114 STOTZ KONTAKT
0115 STRONG
0116 SUMASA
8400 TABESA
0117 TARCON
0118 TAUBE
8500 TEAM-ARTECHE, S.A.
9000 TECNOLOGIAS GPS,S.A.
0119 TELEC
0120 TELEMECANICA
0121 TEMPER
0122 TERASAKI
0136 TRENCH
9200 TRUBTAUBER
0123 UNELCO
0124 UNELEC
0198 VARIOS
0125 VAYRIS
0126 WANDLER BG"
26 agosto 2025 5 de 6
