Códigos de Fabricantes
"Código Descripción
0087 OCESA
0088 OCREICON
0089 OERLIKON
5890 OMECA
0090 ORBIS
0091 P.F.N.
0092 PELEPTRIC
5900 PFIFFNER
5930 POLYLUX
0093 POPPER
5940 POWER GEAR
5960 PRAGATI ELECTRICALS
5970 PRAYOG ELECTRICALS
5950 PRI - APEX
0094 QL Y TOC
0095 RIESA (ROMANILLOS
0135 RITZ
0096 ROMANILLOS
0097 ROMO
6200 RS ISOLSEC
0098 S.C.G.
0099 SABADEL
6500 SACI
6600 SADETEN
6700 SADTEM
0101 SAGEM
7000 SAINCO
0102 SAUTER
0103 SAVIR
7100 SAVOISIENNE
7500 SCHLUMBERGER
7600 SCHNEIDER"
26 agosto 2025 4 de 6
