Códigos de Participante de Representantes,,,
,,,
Código,Empresa,Fecha Alta,Estado
"0409
0716
0592
1442
1450
0799
0627
1892
0645
0798
1280
0800
1582
1271
0845
1443
1121
0846
0606
1795
1881
0847
1485
1172
1382
1779
0511
1916
1894
1272
1394
1700","NEXUS ENERGIA, S.A.
NEXUS RENOVABLES, S.L (GENERACION RE)
NUENEX GESTION DE ENERGIA, S.L.
NUEVA COMERCIALIZADORA ESPAÑOLA S.L.
OCTOPUS ENERGY ESPAÑA, S.L
PLANA CAN GUITART S.L.
PLANTA SOLAR HELIOS I S.L.
PLENA ENERGÍA RENOVABLE SL
REGSITI COMERCIALIZADORA REGULADA, S..L.U
REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U
REPSOL GENERACIÓN ELÉCTRICA, S.A.
REPSOL PETRÓLEO, S.A.
REPSOL SERVICIOS RENOVABLES, S.A
RESPIRA ENERGIA ESPAÑA, S.L.
RESPIRA ENERGIA MEDITERRANIA, S.A.
RG GESTIÓN Y ENERGÍA SLU
ROFEICA ENERGIA, S.A.
SACYR INDUSTRIAL S.L
SAMPOL INGENIERIA Y OBRAS S.A.
SECOND FOUNDATION ENERGY A.S
SECOND FOUNDATION TRADING AG
SERVICIOS ENERGETICOS DE ALTA EFICIENCIA, S.A.
SHELL ENERGY EUROPE LIMITED
SHELL ESPAÑA, S.A.
SIMPLES ENERGIA DE ESPAÑA SL
SOCIEDAD ARAGONESA DE COMERCIALIZACIÓN DE ENERGIA S.L.
SOGAMA S.A.
SOLARIA REPRESENTACIÓN EN MERCADO S.L
SOLWE ENERGÍA
SOM ENERGIA SCCL
SOM RENOVABLES SLU
STIN S.A.","01/09/2001
28/11/2009
01/01/2004
01/03/2020
01/04/2020
05/02/2012
01/05/2009
01/03/2025
01/07/2009
16/04/2003
01/01/1998
07/11/2002
01/08/2021
01/12/2017
26/01/2011
01/12/2019
11/09/2014
12/10/2012
01/01/2004
01/02/2024
01/02/2025
01/06/2014
01/09/2020
01/05/2023
01/06/2019
01/11/2023
01/07/2004
01/06/2025
01/03/2025
05/07/2011
01/08/2019
01/11/2022",BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,BajaV aI:G3E1N/1T2E/2999
,,,
,,,
26 agosto 2025 5 de 6,,,
